Precipitación total mensual (mm); (precipitación medida de 07UTC a 07UTC);;;;;;;;;;;;;;;;;;;
Indicativo;NOMBRE;ALTITUD;NOM_PROV;LONGITUD;LATITUD;Año;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;Media
C018A;SAN BARTOLOME-EL ISLOTE;280;LAS PALMAS;1337402;290100;1961;0,0;;;;;;;;;;;;
C018A;SAN BARTOLOME-EL ISLOTE;280;LAS PALMAS;1337402;290100;1988;;;;;;;;;;;;1,0;
C018A;SAN BARTOLOME-EL ISLOTE;280;LAS PALMAS;1337402;290100;1989;19,0;112,0;21,0;11,3;15,0;0,0;0,0;10,0;0,0;28,0;109,6;106,9;36,1
C018A;SAN BARTOLOME-EL ISLOTE;280;LAS PALMAS;1337402;290100;1990;12,5;0,0;13,5;4,5;0,0;0,0;0,0;0,0;0,0;0,0;26,4;95,9;12,7
C018A;SAN BARTOLOME-EL ISLOTE;280;LAS PALMAS;1337402;290100;1991;8,0;51,7;53,1;1,6;0,0;1,0;0,0;0,0;2,0;15,4;25,3;181,9;28,3
C018A;SAN BARTOLOME-EL ISLOTE;280;LAS PALMAS;1337402;290100;1992;4,3;4,6;7,8;6,4;1,8;8,1;0,0;0,0;0,0;10,9;4,4;45,1;7,8
C018A;SAN BARTOLOME-EL ISLOTE;280;LAS PALMAS;1337402;290100;1993;15,1;15,2;42,9;0,7;6,4;0,0;0,0;0,0;10,0;41,0;61,8;11,2;17,0
C018A;SAN BARTOLOME-EL ISLOTE;280;LAS PALMAS;1337402;290100;1994;58,3;0,0;18,8;6,8;0,0;0,0;0,0;0,0;0,6;85,3;5,0;6,0;15,1
C018A;SAN BARTOLOME-EL ISLOTE;280;LAS PALMAS;1337402;290100;1995;0,0;7,2;13,7;9,8;0,0;0,0;0,0;0,0;7,2;0,0;23,6;46,2;9,0
C018A;SAN BARTOLOME-EL ISLOTE;280;LAS PALMAS;1337402;290100;1996;58,1;18,7;82,9;1,0;0,0;3,7;0,0;0,0;12,4;0,0;17,2;78,0;22,7
C018A;SAN BARTOLOME-EL ISLOTE;280;LAS PALMAS;1337402;290100;1997;34,2;0,0;37,0;24,5;0,0;3,1;0,0;0,0;7,6;6,2;2,7;29,5;12,1
C018A;SAN BARTOLOME-EL ISLOTE;280;LAS PALMAS;1337402;290100;1998;47,6;5,6;7,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;44,2;8,7
C018A;SAN BARTOLOME-EL ISLOTE;280;LAS PALMAS;1337402;290100;1999;60,6;5,5;14,4;0,0;0,0;0,0;0,0;0,0;7,7;18,3;43,3;38,5;15,7
C018A;SAN BARTOLOME-EL ISLOTE;280;LAS PALMAS;1337402;290100;2000;18,1;0,0;0,0;9,9;0,9;0,0;0,0;0,0;2,0;10,5;;34,0;
C018A;SAN BARTOLOME-EL ISLOTE;280;LAS PALMAS;1337402;290100;2001;;;;;;;;0,0;3,6;1,8;43,0;25,2;
C018A;SAN BARTOLOME-EL ISLOTE;280;LAS PALMAS;1337402;290100;2002;7,3;3,5;14,7;19,5;0,0;0,0;0,0;0,0;0,0;9,3;39,4;28,1;10,2
C018A;SAN BARTOLOME-EL ISLOTE;280;LAS PALMAS;1337402;290100;2003;14,2;8,4;0,0;26,7;0,0;0,0;0,0;0,0;0,0;44,2;29,7;13,0;11,4
C018A;SAN BARTOLOME-EL ISLOTE;280;LAS PALMAS;1337402;290100;2004;7,8;36,2;39,4;5,4;13,7;0,0;0,0;7,5;0,0;32,8;16,2;61,3;18,4
C018A;SAN BARTOLOME-EL ISLOTE;280;LAS PALMAS;1337402;290100;2005;13,0;127,4;21,0;;;;;16,0;0,0;9,0;26,7;86,5;
C018A;SAN BARTOLOME-EL ISLOTE;280;LAS PALMAS;1337402;290100;2006;46,0;32,0;1,5;10,0;0,0;0,0;0,0;0,0;4,5;9,2;17,2;7,7;10,7
C018A;SAN BARTOLOME-EL ISLOTE;280;LAS PALMAS;1337402;290100;2007;56,5;7,0;4,5;5,8;5,8;0,0;0,0;0,0;0,0;3,5;20,3;52,0;13,0
C018A;SAN BARTOLOME-EL ISLOTE;280;LAS PALMAS;1337402;290100;2008;5,2;18,7;0,0;0,0;0,0;0,0;0,0;0,0;19,4;55,3;14,7;46,5;13,3
C018A;SAN BARTOLOME-EL ISLOTE;280;LAS PALMAS;1337402;290100;2009;52,9;37,2;11,0;0,0;0,0;0,0;0,0;0,0;3,7;0,0;5,0;80,1;15,8
C018A;SAN BARTOLOME-EL ISLOTE;280;LAS PALMAS;1337402;290100;2010;31,0;66,6;2,0;9,4;0,0;0,0;0,0;0,0;0,0;8,0;34,6;8,9;13,4
C018A;SAN BARTOLOME-EL ISLOTE;280;LAS PALMAS;1337402;290100;2011;90,0;9,5;40,5;29,9;6,0;0,0;0,0;0,0;0,0;5,5;19,5;3,0;17,0
C018A;SAN BARTOLOME-EL ISLOTE;280;LAS PALMAS;1337402;290100;2012;3,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;25,6;25,1;21,3;6,4;6,8
C018A;SAN BARTOLOME-EL ISLOTE;280;LAS PALMAS;1337402;290100;2013;0,0;0,0;37,0;0,0;0,0;0,0;0,0;0,0;0,0;11,0;16,2;3,0;5,6
C018A;SAN BARTOLOME-EL ISLOTE;280;LAS PALMAS;1337402;290100;2014;30,1;22,3;10,0;0,0;0,0;0,0;0,0;0,0;;;178,1;;
C018E;TINAJO (CHINERO);300;LAS PALMAS;1345002;290040;1989;;;;;;;;;;47,5;120,8;85,9;
C018E;TINAJO (CHINERO);300;LAS PALMAS;1345002;290040;1990;22,7;;12,8;17,8;1,7;1,5;0,0;0,0;0,0;2,6;32,6;95,6;
C018E;TINAJO (CHINERO);300;LAS PALMAS;1345002;290040;1991;0,0;55,4;46,0;0,0;0,5;0,0;0,0;0,0;3,9;50,3;27,4;159,2;28,6
C018E;TINAJO (CHINERO);300;LAS PALMAS;1345002;290040;1992;9,0;4,6;10,1;7,8;3,7;5,3;1,8;0,0;0,0;11,3;0,0;28,6;6,8
C018E;TINAJO (CHINERO);300;LAS PALMAS;1345002;290040;1993;14,9;9,0;43,6;2,4;6,7;0,0;0,0;0,0;0,0;31,5;0,0;6,4;9,5
C018E;TINAJO (CHINERO);300;LAS PALMAS;1345002;290040;1994;44,1;3,2;12,6;9,7;2,0;0,0;0,0;0,0;Ip;31,1;4,5;2,9;9,2
C018E;TINAJO (CHINERO);300;LAS PALMAS;1345002;290040;1995;Ip;5,5;20,4;6,3;0,0;0,8;0,0;1,0;3,3;0,6;33,1;51,8;10,2
C018E;TINAJO (CHINERO);300;LAS PALMAS;1345002;290040;1996;61,9;14,1;78,6;1,4;1,4;2,8;1,4;0,0;13,8;0,3;34,6;75,1;23,8
C018E;TINAJO (CHINERO);300;LAS PALMAS;1345002;290040;1997;51,2;0,4;22,2;21,1;2,1;4,9;1,0;0,1;4,9;7,6;9,4;27,5;12,7
C018E;TINAJO (CHINERO);300;LAS PALMAS;1345002;290040;1998;61,0;17,9;16,1;6,6;0,7;3,1;0,2;0,2;0,1;0,0;0,0;26,4;11,0
C018E;TINAJO (CHINERO);300;LAS PALMAS;1345002;290040;1999;41,1;5,4;14,6;0,6;0,0;0,0;0,0;1,9;4,0;43,1;22,9;33,3;13,9
C018E;TINAJO (CHINERO);300;LAS PALMAS;1345002;290040;2000;14,1;5,8;0,0;22,5;4,5;0,0;0,0;0,0;1,7;8,4;6,5;39,5;8,6
C018E;TINAJO (CHINERO);300;LAS PALMAS;1345002;290040;2001;9,6;3,9;5,0;0,8;0,2;;;;;2,1;31,9;10,4;
C018I;YAIZA-UGA;210;LAS PALMAS;1344502;285704;1970;20,4;97,5;29,8;5,9;0,0;0,0;;0,0;0,0;3,2;38,8;121,7;
