Radiación global media diaria (decenas de kilojulios por metro cuadrado);;;;;;;;;;;;;;;;;;;
Indicativo;NOMBRE;ALTITUD;NOM_PROV;LONGITUD;LATITUD;Año;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;Media
C029O;LANZAROTE/AEROPUERTO;14;LAS PALMAS;1336012;285707;1996;;;;;;;2375;2036;1865;1738;1396;1154;
C029O;LANZAROTE/AEROPUERTO;14;LAS PALMAS;1336012;285707;1997;1238;;1995;2325;2441;2338;2270;2059;1722;1661;1356;1208;
C029O;LANZAROTE/AEROPUERTO;14;LAS PALMAS;1336012;285707;1998;1071;1506;1874;2136;2330;2280;2267;2006;1690;1647;1323;;
C029O;LANZAROTE/AEROPUERTO;14;LAS PALMAS;1336012;285707;1999;;;;;;;;;;;1292;;
C029O;LANZAROTE/AEROPUERTO;14;LAS PALMAS;1336012;285707;2000;;;;2338;2221;2506;2146;2006;;;1181;1186;
C029O;LANZAROTE/AEROPUERTO;14;LAS PALMAS;1336012;285707;2001;1322;1593;1954;2147;2297;2571;2308;2152;1771;1529;1073;1047;1814
C029O;LANZAROTE/AEROPUERTO;14;LAS PALMAS;1336012;285707;2002;1196;1726;1998;;;;;;;;;;
C029O;LANZAROTE/AEROPUERTO;14;LAS PALMAS;1336012;285707;2003;;;;;;;;2387;2030;1439;1290;;
C029O;LANZAROTE/AEROPUERTO;14;LAS PALMAS;1336012;285707;2004;1144;1558;2060;1999;2251;2608;2614;2302;1866;1563;1246;964;1848
C029O;LANZAROTE/AEROPUERTO;14;LAS PALMAS;1336012;285707;2005;1175;1272;;2219;2512;2703;2645;2342;2112;1423;1154;;
C029O;LANZAROTE/AEROPUERTO;14;LAS PALMAS;1336012;285707;2006;;;2229;2231;2630;2444;2689;2498;2113;1653;1190;1172;
C029O;LANZAROTE/AEROPUERTO;14;LAS PALMAS;1336012;285707;2007;1175;1638;2033;2398;;;;;;1734;1336;1132;
C029O;LANZAROTE/AEROPUERTO;14;LAS PALMAS;1336012;285707;2008;1208;1436;1957;2355;2634;2763;2747;2445;1930;1522;1267;967;1936
C029O;LANZAROTE/AEROPUERTO;14;LAS PALMAS;1336012;285707;2009;1166;1552;1827;2337;2662;2851;2713;2420;1844;1724;1393;1024;1959
C029O;LANZAROTE/AEROPUERTO;14;LAS PALMAS;1336012;285707;2010;1288;1423;1960;2208;2457;2584;2559;2410;2020;1666;1220;1153;1912
C029O;LANZAROTE/AEROPUERTO;14;LAS PALMAS;1336012;285707;2011;1255;1662;1809;2247;2164;2566;2586;2488;2094;1690;1239;1172;1914
C029O;LANZAROTE/AEROPUERTO;14;LAS PALMAS;1336012;285707;2012;1230;1515;2124;2140;2649;2700;2663;2490;2185;1700;1137;1248;1982
C029O;LANZAROTE/AEROPUERTO;14;LAS PALMAS;1336012;285707;2013;1377;1630;2054;2241;2535;2816;2802;2443;2067;1721;1312;1158;2013
C029O;LANZAROTE/AEROPUERTO;14;LAS PALMAS;1336012;285707;2014;1241;1608;2114;2526;2620;2735;2655;2544;2059;1687;1159;1167;2010
C029O;LANZAROTE/AEROPUERTO;14;LAS PALMAS;1336012;285707;2015;1189;1434;1978;2435;;;;;;;;;
C249I;FUERTEVENTURA/AEROPUERTO;25;LAS PALMAS;1351472;282641;2004;1204;1585;2031;2207;2253;2588;2607;2373;2128;1632;1313;1018;1912
C249I;FUERTEVENTURA/AEROPUERTO;25;LAS PALMAS;1351472;282641;2005;1304;1402;2068;2392;2574;2750;;;2168;1585;1268;1085;
C249I;FUERTEVENTURA/AEROPUERTO;25;LAS PALMAS;1351472;282641;2006;1024;1502;2137;2113;2722;2517;2663;2457;2118;1712;1128;1203;1941
C249I;FUERTEVENTURA/AEROPUERTO;25;LAS PALMAS;1351472;282641;2007;1128;1620;2037;2312;2508;2716;2606;2441;2199;1764;1389;1140;1988
C249I;FUERTEVENTURA/AEROPUERTO;25;LAS PALMAS;1351472;282641;2008;;1426;1960;2405;2607;2709;2671;2415;1930;1673;1315;1014;
C249I;FUERTEVENTURA/AEROPUERTO;25;LAS PALMAS;1351472;282641;2009;1202;1631;1827;2304;2647;2767;2677;2438;1940;1806;1378;1120;1978
C249I;FUERTEVENTURA/AEROPUERTO;25;LAS PALMAS;1351472;282641;2010;1326;1482;2032;2217;2482;2490;2638;2445;2100;1647;1290;1155;1942
C249I;FUERTEVENTURA/AEROPUERTO;25;LAS PALMAS;1351472;282641;2011;1348;1678;1925;2241;2309;2576;2577;2502;2217;1639;1308;1164;1957
C249I;FUERTEVENTURA/AEROPUERTO;25;LAS PALMAS;1351472;282641;2012;1239;1608;2017;2206;2617;;2662;2511;2178;1703;1137;1275;
C249I;FUERTEVENTURA/AEROPUERTO;25;LAS PALMAS;1351472;282641;2013;1403;1611;2065;2233;2524;2874;2761;2438;2180;1731;1365;1153;2028
C249I;FUERTEVENTURA/AEROPUERTO;25;LAS PALMAS;1351472;282641;2014;1293;1695;2109;2485;2657;2820;2669;;;1735;1283;1220;
C249I;FUERTEVENTURA/AEROPUERTO;25;LAS PALMAS;1351472;282641;2015;1203;1501;1862;2457;;;;;;;;;
C429I;TENERIFE/SUR;64;SANTA CRUZ DE TENERIFE;1633402;280249;2003;;;;;;;;;;1440;1325;1135;
C429I;TENERIFE/SUR;64;SANTA CRUZ DE TENERIFE;1633402;280249;2004;1179;1536;2026;1711;;;2624;;;;1227;1051;
C429I;TENERIFE/SUR;64;SANTA CRUZ DE TENERIFE;1633402;280249;2005;1201;1305;;;;;2451;2251;;1430;1213;1004;
C429I;TENERIFE/SUR;64;SANTA CRUZ DE TENERIFE;1633402;280249;2006;985;1332;2079;2022;2533;2249;2649;2365;1904;1666;1135;1227;1846
C429I;TENERIFE/SUR;64;SANTA CRUZ DE TENERIFE;1633402;280249;2007;1177;1612;1841;2304;2371;2401;2643;2435;2035;1647;1303;1233;1917
C429I;TENERIFE/SUR;64;SANTA CRUZ DE TENERIFE;1633402;280249;2008;1203;1414;1903;2329;2531;2652;2673;2412;1931;1695;1221;;
C429I;TENERIFE/SUR;64;SANTA CRUZ DE TENERIFE;1633402;280249;2009;1239;1533;1750;2332;2608;2704;2792;2523;1818;1763;1407;1130;1967
C429I;TENERIFE/SUR;64;SANTA CRUZ DE TENERIFE;1633402;280249;2010;1307;1477;2050;2185;2406;2501;2518;2453;2038;1693;1266;1115;1917
C429I;TENERIFE/SUR;64;SANTA CRUZ DE TENERIFE;1633402;280249;2011;1431;1703;2037;2129;2296;2581;2591;2509;2191;1651;1305;1252;1973
C429I;TENERIFE/SUR;64;SANTA CRUZ DE TENERIFE;1633402;280249;2012;;;;2075;2612;2662;2622;2501;2164;1630;1196;1297;
C429I;TENERIFE/SUR;64;SANTA CRUZ DE TENERIFE;1633402;280249;2013;1422;1535;1988;2264;2515;2869;2751;2439;2222;1809;1300;1167;2023
